Cik_code,Cik_code2
10100009,010100009
10100010,010100010
10200004,010200004
10300005,010300005
10300006,010300006
10300007,010300007
10300008,010300008
10300009,010300009
10300010,010300010
10300085,010300085
11100003,011100003
11100017,011100017
11100018,011100018
11100019,011100019
11100025,011100025
11300002,011300002
11300004,011300004
12800001,012800001
12800002,012800002
13300007,013300007
13300010,013300010
13300016,013300016
13300027,013300027
13300030,013300030
13300031,013300031
13300036,013300036
13300052,013300052
13300060,013300060
13300061,013300061
13300062,013300062
13300063,013300063
13300064,013300064
13700015,013700015
14000003,014000003
14000005,014000005
14000008,014000008
14000016,014000016
14000027,014000027
14000028,014000028
14000029,014000029
14000030,014000030
14000031,014000031
14200006,014200006
14200009,014200009
14200018,014200018
14400003,014400003
14400004,014400004
14400005,014400005
14400006,014400006
14900006,014900006
14900007,014900007
15200001,015200001
15200003,015200003
20100002,020100002
20100023,020100023
20100025,020100025
20100029,020100029
20400007,020400007
20400059,020400059
20400060,020400060
20400061,020400061
20400062,020400062
20400063,020400063
20400064,020400064
20400065,020400065
20400066,020400066
20400067,020400067
20400068,020400068
20400069,020400069
20400070,020400070
20400071,020400071
20400072,020400072
20400073,020400073
20400076,020400076
20400077,020400077
20400107,020400107
20400108,020400108
20400109,020400109
20400110,020400110
20400111,020400111
20400112,020400112
20400113,020400113
20400114,020400114
20400119,020400119
20400120,020400120
20600003,020600003
20600006,020600006
20600007,020600007
20600040,020600040
20800001,020800001
20800002,020800002
20800003,020800003
20800014,020800014
20800016,020800016
20800018,020800018
20800019,020800019
20900004,020900004
20900006,020900006
20900012,020900012
20900013,020900013
20900015,020900015
20900018,020900018
20900019,020900019
20900020,020900020
20900025,020900025
20900029,020900029
20900030,020900030
20900038,020900038
20900051,020900051
21200013,021200013
21300003,021300003
21300007,021300007
21300014,021300014
21700002,021700002
21700006,021700006
21700007,021700007
21700010,021700010
21700011,021700011
21700013,021700013
21700014,021700014
21700015,021700015
21700016,021700016
21700017,021700017
21700031,021700031
21700032,021700032
21700040,021700040
21700043,021700043
21800001,021800001
21800002,021800002
21800003,021800003
21800006,021800006
21800009,021800009
21800025,021800025
22100011,022100011
22100020,022100020
22300003,022300003
22300004,022300004
22700003,022700003
22700004,022700004
30100006,030100006
30100013,030100013
30100014,030100014
30200004,030200004
30200005,030200005
30200012,030200012
30200013,030200013
30200014,030200014
30200015,030200015
30200016,030200016
30200025,030200025
30400001,030400001
30400004,030400004
30400007,030400007
30400008,030400008
30400013,030400013
30601006,030601006
30601014,030601014
30603267,030603267
30603268,030603268
30603277,030603277
30604278,030604278
30604279,030604279
30604280,030604280
30605353,030605353
30605354,030605354
30605360,030605360
30605361,030605361
30605362,030605362
30800013,030800013
30900003,030900003
30900018,030900018
31300002,031300002
31300007,031300007
31400002,031400002
31600003,031600003
31600004,031600004
31600005,031600005
31600006,031600006
31600007,031600007
31600008,031600008
32400005,032400005
32400009,032400009
32400017,032400017
32600003,032600003
40400001,040400001
40400002,040400002
40400003,040400003
40400004,040400004
40400028,040400028
40400043,040400043
40400096,040400096
40400103,040400103
40400104,040400104
40400111,040400111
40400126,040400126
40600002,040600002
40600006,040600006
40600071,040600071
40600074,040600074
40600075,040600075
40600076,040600076
41300001,041300001
41300005,041300005
41300010,041300010
41400001,041400001
41400002,041400002
41400003,041400003
42200004,042200004
42200007,042200007
42200027,042200027
42200028,042200028
42600007,042600007
42600014,042600014
42600018,042600018
42600019,042600019
42800001,042800001
42800002,042800002
42800003,042800003
42800004,042800004
42800005,042800005
42800006,042800006
42800007,042800007
42800009,042800009
42800010,042800010
42800034,042800034
42800035,042800035
42800087,042800087
43100001,043100001
43100002,043100002
43100003,043100003
43100004,043100004
43100005,043100005
43100013,043100013
43100014,043100014
43200002,043200002
50300004,050300004
50900002,050900002
50900003,050900003
50900009,050900009
50900010,050900010
50900021,050900021
50900042,050900042
50900059,050900059
50900065,050900065
50900069,050900069
50900070,050900070
50900071,050900071
50900072,050900072
50900073,050900073
50900074,050900074
50900075,050900075
51600021,051600021
51600022,051600022
51600023,051600023
52200002,052200002
52500006,052500006
53300009,053300009
53700007,053700007
53700009,053700009
60500001,060500001
60500002,060500002
60500003,060500003
60500005,060500005
60500006,060500006
60800002,060800002
60800005,060800005
60800008,060800008
60800009,060800009
60800010,060800010
60800012,060800012
60800014,060800014
60800015,060800015
60800016,060800016
60800025,060800025
60800026,060800026
60800027,060800027
61000001,061000001
61000002,061000002
61000003,061000003
61000004,061000004
61000005,061000005
61000006,061000006
61000007,061000007
61000009,061000009
61000010,061000010
61000016,061000016
61000018,061000018
61000019,061000019
61000044,061000044
61000086,061000086
61000089,061000089
61000093,061000093
61000098,061000098
62000012,062000012
62000013,062000013
62000014,062000014
62000016,062000016
62000022,062000022
62000023,062000023
62000026,062000026
62100001,062100001
62100002,062100002
62100003,062100003
62100004,062100004
62100012,062100012
62100013,062100013
62100014,062100014
62700001,062700001
62700013,062700013
63100001,063100001
63100007,063100007
63100008,063100008
63100011,063100011
63200002,063200002
63200004,063200004
63500002,063500002
63500007,063500007
70500023,070500023
70500027,070500027
71200008,071200008
72900005,072900005
72900007,072900007
72900008,072900008
72900018,072900018
72900029,072900029
72900037,072900037
72900044,072900044
72900045,072900045
72900066,072900066
72900073,072900073
73500003,073500003
73500004,073500004
80300003,080300003
80300004,080300004
80300007,080300007
80300008,080300008
80300026,080300026
80300027,080300027
81200001,081200001
81200007,081200007
81200012,081200012
81200045,081200045
81200046,081200046
81500039,081500039
81500040,081500040
81500060,081500060
81500061,081500061
81700003,081700003
81700004,081700004
81700012,081700012
81700014,081700014
81700015,081700015
81700030,081700030
82000001,082000001
82000002,082000002
82000003,082000003
82700003,082700003
82700004,082700004
82700012,082700012
82700017,082700017
82700018,082700018
82700026,082700026
82700027,082700027
82800004,082800004
82800007,082800007
82800008,082800008
82800009,082800009
82800013,082800013
82800030,082800030
82800059,082800059
82800071,082800071
82800124,082800124
82800125,082800125
82800126,082800126
82900001,082900001
82900002,082900002
82900003,082900003
82900004,082900004
90200001,090200001
90200002,090200002
90200007,090200007
90200008,090200008
90200009,090200009
90200028,090200028
90200029,090200029
90800012,090800012
91400007,091400007
91500002,091500002
91500003,091500003
91500014,091500014
91600001,091600001
91600002,091600002
91600003,091600003
91600004,091600004
91600006,091600006
91600007,091600007
91600008,091600008
91600009,091600009
93500007,093500007
100400001,100400001
100400003,100400003
100400006,100400006
102700001,102700001
102700002,102700002
102700003,102700003
102700004,102700004
102700011,102700011
102900012,102900012
102900019,102900019
102900063,102900063
103100012,103100012
103800003,103800003
104100004,104100004
104100005,104100005
104100006,104100006
104800002,104800002
104800040,104800040
104800067,104800067
104800068,104800068
104800070,104800070
104800071,104800071
105000001,105000001
110200002,110200002
111700001,111700001
111700007,111700007
111800001,111800001
111800008,111800008
111800071,111800071
111800079,111800079
111900004,111900004
111900008,111900008
111900010,111900010
111900018,111900018
111900024,111900024
111900025,111900025
113300003,113300003
113300017,113300017
113300023,113300023
113400003,113400003
113400004,113400004
113400007,113400007
113400023,113400023
113400061,113400061
113400067,113400067
113600005,113600005
113800007,113800007
113800013,113800013
120200002,120200002
120200003,120200003
120200008,120200008
120200011,120200011
120200012,120200012
120200013,120200013
120200016,120200016
120200018,120200018
120200019,120200019
120200038,120200038
120400001,120400001
120400002,120400002
120400007,120400007
120400010,120400010
121100003,121100003
121100004,121100004
121100005,121100005
121100008,121100008
121100009,121100009
121100015,121100015
121100019,121100019
121100020,121100020
121200002,121200002
121200005,121200005
121400003,121400003
122400001,122400001
122400017,122400017
122400018,122400018
122400024,122400024
122400026,122400026
122400027,122400027
122400028,122400028
122400029,122400029
122400030,122400030
122400031,122400031
122400032,122400032
122400033,122400033
122400034,122400034
122400040,122400040
122400041,122400041
122400045,122400045
122900006,122900006
122900016,122900016
122900027,122900027
122900046,122900046
122900055,122900055
122900056,122900056
122900067,122900067
122900075,122900075
123800005,123800005
130300001,130300001
130300003,130300003
130400004,130400004
130400009,130400009
130800008,130800008
131400002,131400002
131400006,131400006
131900002,131900002
131900060,131900060
132000010,132000010
132000032,132000032
132100002,132100002
132400005,132400005
132400006,132400006
132400007,132400007
132900001,132900001
132900002,132900002
132900019,132900019
133200002,133200002
133200003,133200003
133200005,133200005
140800001,140800001
140800002,140800002
140800003,140800003
140800004,140800004
141900002,141900002
141900003,141900003
141900006,141900006
141900008,141900008
142200003,142200003
143200002,143200002
143200003,143200003
143200010,143200010
143200012,143200012
143200018,143200018
143200028,143200028
143200042,143200042
143200043,143200043
143200045,143200045
143200049,143200049
143200050,143200050
143200062,143200062
143200063,143200063
143200064,143200064
143200072,143200072
143200073,143200073
143200098,143200098
143200110,143200110
143200111,143200111
143200118,143200118
143200119,143200119
143200120,143200120
143200121,143200121
143200126,143200126
143200129,143200129
143600002,143600002
143600003,143600003
143600007,143600007
143600009,143600009
143600010,143600010
143600011,143600011
143600012,143600012
143600013,143600013
143600014,143600014
143600015,143600015
143600016,143600016
143600017,143600017
143600018,143600018
143600025,143600025
143600027,143600027
143600035,143600035
143600036,143600036
143600037,143600037
145100001,145100001
145100002,145100002
145100003,145100003
145100004,145100004
150300013,150300013
150800001,150800001
150800010,150800010
150800014,150800014
150800017,150800017
151000002,151000002
151000007,151000007
151000013,151000013
151000027,151000027
151000031,151000031
151000032,151000032
151100016,151100016
151600005,151600005
151600006,151600006
151600008,151600008
151600009,151600009
152300002,152300002
152400005,152400005
152400044,152400044
152400204,152400204
152400205,152400205
152400206,152400206
152400217,152400217
152400223,152400223
152400224,152400224
153700003,153700003
153700010,153700010
153700011,153700011
153700013,153700013
153700027,153700027
153700030,153700030
153700036,153700036
153700037,153700037
153900001,153900001
162201005,162201005
162201062,162201062
162201073,162201073
162201080,162201080
162202021,162202021
162202023,162202023
162202024,162202024
162202025,162202025
162202026,162202026
162202027,162202027
162202028,162202028
162202029,162202029
162202030,162202030
162202031,162202031
162202032,162202032
162202033,162202033
162202034,162202034
162202035,162202035
162202036,162202036
162202037,162202037
162202038,162202038
162202039,162202039
162202040,162202040
162202041,162202041
162202042,162202042
162202043,162202043
162202044,162202044
162202045,162202045
162202046,162202046
162202047,162202047
162202048,162202048
162202049,162202049
162202050,162202050
162202051,162202051
162202052,162202052
162202053,162202053
162202062,162202062
162203005,162203005
162203012,162203012
162203014,162203014
162203018,162203018
162203027,162203027
162203028,162203028
162203029,162203029
162203030,162203030
162203032,162203032
162203033,162203033
162203034,162203034
162203035,162203035
162203036,162203036
162203042,162203042
162204002,162204002
162206001,162206001
162206002,162206002
162206003,162206003
162206004,162206004
162206005,162206005
162206006,162206006
162206007,162206007
162206008,162206008
162206009,162206009
162206010,162206010
162206011,162206011
162206012,162206012
162206013,162206013
162206014,162206014
162206015,162206015
162206016,162206016
162206017,162206017
162206018,162206018
162206019,162206019
162206020,162206020
162206027,162206027
162206033,162206033
170100018,170100018
170100043,170100043
170100049,170100049
170100050,170100050
170100051,170100051
170100053,170100053
170100055,170100055
170100056,170100056
170100057,170100057
170100058,170100058
170100059,170100059
170100101,170100101
170700001,170700001
170700013,170700013
171200003,171200003
171200006,171200006
171200010,171200010
171200017,171200017
171200018,171200018
171300014,171300014
171300015,171300015
171300016,171300016
171300017,171300017
171300018,171300018
171300019,171300019
171300031,171300031
171300064,171300064
171700015,171700015
172300002,172300002
172300025,172300025
172500016,172500016
172500017,172500017
172500018,172500018
172500019,172500019
172600002,172600002
172800019,172800019
173300005,173300005
173700013,173700013
173700019,173700019
173900002,173900002
174100016,174100016
174300005,174300005
181100014,181100014
181400003,181400003
181400014,181400014
181600017,181600017
181700002,181700002
181700005,181700005
182600023,182600023
182600027,182600027
182600028,182600028
182600053,182600053
182600054,182600054
182600056,182600056
182600057,182600057
182900004,182900004
182900006,182900006
183600004,183600004
190400014,190400014
190400017,190400017
190400019,190400019
190400024,190400024
190400025,190400025
190500002,190500002
190500005,190500005
190500008,190500008
190500016,190500016
190800001,190800001
190800003,190800003
190800004,190800004
190800005,190800005
190800013,190800013
190800014,190800014
191300002,191300002
191300013,191300013
192700050,192700050
192700051,192700051
192700052,192700052
192700053,192700053
192700054,192700054
192700071,192700071
192700095,192700095
192700096,192700096
192700155,192700155
192700167,192700167
192700169,192700169
192700170,192700170
192700171,192700171
192700172,192700172
192700192,192700192
192700195,192700195
192700196,192700196
192700197,192700197
192700199,192700199
192700202,192700202
193300003,193300003
193300004,193300004
193300008,193300008
193300010,193300010
193700002,193700002
193700005,193700005
193700009,193700009
201000405,201000405
201000429,201000429
203100135,203100135
203100137,203100137
203100177,203100177
203100179,203100179
203100181,203100181
211100007,211100007
211100014,211100014
211600008,211600008
211600009,211600009
211600010,211600010
211600011,211600011
211600012,211600012
211600013,211600013
211600014,211600014
211600015,211600015
211600016,211600016
211600027,211600027
211600036,211600036
211600037,211600037
212000008,212000008
212000013,212000013
212000014,212000014
212000015,212000015
212000016,212000016
212000019,212000019
212000110,212000110
212000113,212000113
212000114,212000114
212000168,212000168
212000169,212000169
212000174,212000174
212000175,212000175
212000176,212000176
212000184,212000184
212400006,212400006
212400012,212400012
212400013,212400013
212400014,212400014
220200002,220200002
220500006,220500006
220900001,220900001
220900017,220900017
221000002,221000002
221100001,221100001
221100004,221100004
221100006,221100006
221100010,221100010
221100020,221100020
221600011,221600011
221600016,221600016
221600028,221600028
221800002,221800002
222700007,222700007
223100007,223100007
223100010,223100010
223100011,223100011
223100016,223100016
223100035,223100035
223100066,223100066
223800001,223800001
223800003,223800003
234602002,234602002
234602006,234602006
234608001,234608001
234608003,234608003
234608009,234608009
234609012,234609012
234610002,234610002
234610008,234610008
234610022,234610022
234610029,234610029
234615001,234615001
234616018,234616018
234617001,234617001
234617016,234617016
234617031,234617031
234623004,234623004
244601001,244601001
244603003,244603003
244604006,244604006
244604008,244604008
244604016,244604016
244605005,244605005
244605039,244605039
244605040,244605040
244605041,244605041
244605042,244605042
244605043,244605043
244605044,244605044
244605045,244605045
244605046,244605046
244605047,244605047
244605048,244605048
244605049,244605049
244606059,244606059
244607013,244607013
244607034,244607034
244614001,244614001
244614002,244614002
244614015,244614015
244614019,244614019
244614021,244614021
244622008,244622008
244622009,244622009
244622010,244622010
244622011,244622011
244622012,244622012
244622013,244622013
244622026,244622026
254611001,254611001
254611002,254611002
254611003,254611003
254611004,254611004
254611005,254611005
254611006,254611006
254611007,254611007
254611008,254611008
254611009,254611009
254611010,254611010
254611011,254611011
254611012,254611012
254611013,254611013
254611014,254611014
254611015,254611015
254611016,254611016
254611020,254611020
254611021,254611021
254611022,254611022
254611023,254611023
254611024,254611024
254611025,254611025
254611026,254611026
254611027,254611027
254611028,254611028
254611029,254611029
254611030,254611030
254611031,254611031
254611037,254611037
254611038,254611038
254611039,254611039
254611040,254611040
254611043,254611043
254611046,254611046
254611047,254611047
254611053,254611053
254611056,254611056
254611057,254611057
254611058,254611058
254611059,254611059
254611060,254611060
254611061,254611061
254611062,254611062
254611063,254611063
254611064,254611064
254611065,254611065
254611066,254611066
254611071,254611071
254613050,254613050
254618020,254618020
254618051,254618051
254618056,254618056
254619006,254619006
254619013,254619013
254619014,254619014
254619040,254619040
254619045,254619045
254619046,254619046
254619056,254619056
254619071,254619071
254619072,254619072
254620006,254620006
254620050,254620050
254621017,254621017
254624003,254624003
254624010,254624010
254624011,254624011
254624012,254624012
254624013,254624013
254624014,254624014
260600002,260600002
260600003,260600003
260600005,260600005
260600006,260600006
260700002,260700002
260700008,260700008
260700020,260700020
260700030,260700030
260700032,260700032
260700037,260700037
260700042,260700042
261000001,261000001
261000011,261000011
261600004,261600004
261800002,261800002
261800004,261800004
261800018,261800018
262000001,262000001
262000002,262000002
262000003,262000003
262000004,262000004
262000005,262000005
262000006,262000006
262000007,262000007
262000008,262000008
262000011,262000011
262000014,262000014
262000015,262000015
262000016,262000016
262000019,262000019
262000020,262000020
262000024,262000024
262000025,262000025
262000026,262000026
262400001,262400001
262500001,262500001
262500002,262500002
262500003,262500003
262500004,262500004
262500005,262500005
262500006,262500006
262500007,262500007
262500008,262500008
262500009,262500009
262500010,262500010
262500011,262500011
262500012,262500012
262500013,262500013
262500016,262500016
262500018,262500018
262600002,262600002
262600008,262600008
263400007,263400007
263900003,263900003
263900005,263900005
263900009,263900009
263900012,263900012
263900014,263900014
263900015,263900015
263900016,263900016
263900018,263900018
263900020,263900020
263900023,263900023
263900028,263900028
263900029,263900029
263900030,263900030
263900031,263900031
263900042,263900042
263900050,263900050
263900051,263900051
263900052,263900052
263900053,263900053
263900054,263900054
263900061,263900061
263900062,263900062
264300004,264300004
264300005,264300005
264500004,264500004
264500006,264500006
264700005,264700005
265500001,265500001
265500002,265500002
265500003,265500003
265500004,265500004
265500005,265500005
265500006,265500006
265500008,265500008
265500009,265500009
265500010,265500010
265500012,265500012
265900001,265900001
265900002,265900002
265900003,265900003
265900004,265900004
265900005,265900005
265900006,265900006
270400006,270400006
270700016,270700016
270700020,270700020
271200002,271200002
271200016,271200016
271200023,271200023
271200034,271200034
272200002,272200002
272200006,272200006
272200010,272200010
272700014,272700014
273100002,273100002
273100015,273100015
273100132,273100132
273100133,273100133
273100134,273100134
273100135,273100135
273100136,273100136
273100137,273100137
273100138,273100138
273100178,273100178
273100201,273100201
273600006,273600006
273600007,273600007
273600012,273600012
273600017,273600017
273700001,273700001
273700002,273700002
280200009,280200009
282200004,282200004
282200005,282200005
282200038,282200038
282300003,282300003
282300010,282300010
283500001,283500001
283500038,283500038
283500039,283500039
283500040,283500040
283500041,283500041
283500042,283500042
283500043,283500043
283500055,283500055
283500057,283500057
283500058,283500058
283500059,283500059
283500072,283500072
290900007,290900007
290900010,290900010
290900012,290900012
290900052,290900052
290900053,290900053
290900054,290900054
290900055,290900055
290900056,290900056
290900057,290900057
290900058,290900058
291100002,291100002
291700001,291700001
291700002,291700002
291700003,291700003
291700004,291700004
291700013,291700013
292800001,292800001
292800002,292800002
292800003,292800003
292800004,292800004
292800005,292800005
292800009,292800009
292800012,292800012
292800013,292800013
292800016,292800016
292800017,292800017
292800018,292800018
292800019,292800019
292900001,292900001
292900003,292900003
292900005,292900005
292900006,292900006
293000014,293000014
293200002,293200002
293200003,293200003
293200005,293200005
293200007,293200007
293300004,293300004
293300005,293300005
293300006,293300006
293300007,293300007
293300008,293300008
293300020,293300020
293300021,293300021
293400002,293400002
293400005,293400005
293400041,293400041
293400042,293400042
293400044,293400044
293400045,293400045
293400046,293400046
293400047,293400047
293400060,293400060
293400061,293400061
293400062,293400062
293400063,293400063
293400064,293400064
293400065,293400065
293400066,293400066
293400067,293400067
293400068,293400068
293400119,293400119
293400120,293400120
293400124,293400124
293400126,293400126
293400129,293400129
300700014,300700014
301000002,301000002
301000006,301000006
301000012,301000012
301000013,301000013
301100001,301100001
301100013,301100013
301100014,301100014
301800002,301800002
301800003,301800003
301800021,301800021
301800022,301800022
301900008,301900008
302100002,302100002
302100003,302100003
302100009,302100009
302100010,302100010
302200002,302200002
302200008,302200008
302200011,302200011
302200013,302200013
302300006,302300006
303000002,303000002
303000041,303000041
303000042,303000042
303000043,303000043
303000046,303000046
303000052,303000052
303000053,303000053
303000063,303000063
303000105,303000105
303000106,303000106
310700011,310700011
312200002,312200002
312200017,312200017
312200019,312200019
312500025,312500025
312600031,312600031
312600042,312600042
312600043,312600043
312600044,312600044
312600045,312600045
312600046,312600046
312600047,312600047
312600048,312600048
312600049,312600049
312600050,312600050
312600051,312600051
312600052,312600052
312600053,312600053
312600054,312600054
312600055,312600055
312600056,312600056
312600057,312600057
312600058,312600058